,importer,baseline_supply,imports_china,after_shock_imports,new_baseline_supply,absolute_loss,loss_percent,absolute_loss_100m,supply_concentration,vulnerability_type,china_share,china_loss,replacement,adjusted_loss,Region Name
0,AGO,41744845.900000006,1056009.2,633605.5199999999,41322442.220000006,422403.6799999997,0.01011870258215517,0.0,0.8734551035003857,Concentrated but safe,0.02529675645538794,0.010118702582155177,0.001280470170969207,0.00883823241118597,Africa
1,ALB,115739634.737,104058057.447,62434834.4682,74116411.7582,41623222.9788,0.3596280830968767,0.42,0.8109697142629653,Highly vulnerable,0.8990702077421918,0.35962808309687677,0.06798059930686469,0.2916474837900121,Europe
2,ARG,120587760.07,113225139.3,67935083.58,75297704.35,45290055.72,0.37557755193155234,0.45,0.8821622891637971,Highly vulnerable,0.938943879828881,0.3755775519315524,0.04425719896107924,0.33132035297047313,Americas
3,ARM,132731619.4,131496898.14,78898138.884,80132860.14400001,52598759.256,0.3962790440873653,0.53,0.9815080965205052,Highly vulnerable,0.9906976102184134,0.39627904408736536,0.007327953834210028,0.38895109025315533,Asia
4,ATG,1017195.421,163104.918,97862.9508,951953.4538,65241.967199999955,0.064139068907586,0.0,0.5448132903348923,Concentrated but safe,0.16034767226896512,0.06413906890758606,0.029195251737027708,0.03494381717055835,Americas
5,AUS,1812788174.6880002,1662193095.131,997315857.0785999,1147910936.6356,664877238.0524001,0.36677050707638936,6.65,0.8416282271834482,Highly vulnerable,0.9169262676909733,0.36677050707638936,0.05808609542251344,0.30868441165387595,Oceania
6,AUT,823910774.886,289964463.783,173978678.26979998,707924989.3728,115985785.51320004,0.14077469193099015,1.16,0.29841206091153316,Resilient,0.35193672982747526,0.1407746919309901,0.09876582598767716,0.042008865943312934,Europe
7,AZE,9557590.52,7106144.6,4263686.76,6715132.68,2842457.84,0.2974031827427568,0.03,0.5620096731278045,Highly vulnerable,0.743507956856892,0.2974031827427568,0.13025971722233134,0.16714346552042544,Asia
8,BEL,359328736.837,141624683.234,84974809.94039999,302678863.5434,56649873.29360002,0.15765472528654936,0.57,0.23836626685480633,Resilient,0.3941368132163732,0.1576547252865493,0.12007515696797451,0.0375795683185748,Europe
9,BEN,13519435.277999999,4516633.032,2709979.8192,11712782.0652,1806653.2127999999,0.13363377801289844,0.02,0.4015056423139568,Resilient,0.3340844450322461,0.13363377801289844,0.07997906213698894,0.0536547158759095,Africa
