typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20090101","2009","52","2009","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H3","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","950","false",,"false",,"5998","5998","0","true","false",
"C","A","20090101","2009","52","2009","12","DZA","Algeria","X","Export","0","W00","World","0","W00","World","H3","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1","false",,"false",,"161","161","0","true","false",
"C","A","20090101","2009","52","2009","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H3","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"198","198","0","true","false",
"C","A","20090101","2009","52","2009","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H3","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","9722","true",,"false",,"482025","482025","4","true","false",
"C","A","20090101","2009","52","2009","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H3","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","1007619","false",,"false",,"56096737","56096737","0","true","false",
"C","A","20090101","2009","52","2009","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H3","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","7965480","true",,"false",,"673257907","673257907","4","true","false",
"C","A","20090101","2009","52","2009","44","BHS","Bahamas","X","Export","0","W00","World","0","W00","World","H3","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"480","480","0","true","false",
"C","A","20090101","2009","52","2009","50","BGD","Bangladesh","X","Export","0","W00","World","0","W00","World","H3","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"640842","640842","0","true","false",
"C","A","20090101","2009","52","2009","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H3","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false","2","false",,"false",,"5460","5460","0","true","false",
"C","A","20090101","2009","52","2009","52","BRB","Barbados","X","Export","0","W00","World","0","W00","World","H2","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules, panels, light emitting mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"750","750","0","true","false",
